Ano,Educação,Artes e Design,Humanidades,Ciências Sociais,Comunicações,Negócios,Direito,Ciências da Vida,Ciências Físicas,Matemática,Ciências da Computação,Engenharia,Ciências dos Materiais,Arquitetura,Agricultura,Ciências Animal,Ciências da Saúde,Trabalho Social,Gestão Hoteleira,Transporte,Estudos Ambientais,Segurança Pública
2009,692430,31773,99313,112288,37797,320353,173400,38637,70101,26181,93864,127087,18169,41235,30743,3106,64185,27587,27394,1276,10409,684
2010,774863,36981,53421,108153,46474,239690,144045,30690,69555,14789,93581,200081,26722,70039,95622,21296,190659,27764,24238,619,10894,776
2011,858239,40273,56270,118276,48537,265133,149156,34924,88283,17449,108218,239883,30925,76931,103953,22521,200562,30592,25655,1189,12146,1313
2012,911298,41382,58061,126993,49476,289471,157193,37781,95823,18850,120388,263390,33869,85586,111201,23819,212605,33085,28337,1422,13372,1279
2013,1017628,44754,64149,133280,52268,308689,164358,39935,109029,20226,129998,288966,35975,93494,116458,25889,228303,36608,30097,2066,13425,1212
