Ano,Educação,Artes e Design,Humanidades,Ciências Sociais,Comunicações,Negócios,Direito,Ciências da Vida,Ciências Físicas,Matemática,Ciências da Computação,Engenharia,Ciências dos Materiais,Arquitetura,Agricultura,Ciências Animal,Ciências da Saúde,Trabalho Social,Gestão Hoteleira,Transporte,Estudos Ambientais,Segurança Pública
2009,1177668,190208,81365,410326,190821,3286540,1955361,150858,39765,7102,592897,625038,69310,261802,31061,24578,1377660,142785,175700,14140,41138,11248
2010,980736,156223,37561,339503,201592,2387774,1559874,97360,17846,1380,431891,541335,51709,275165,38441,40462,1225766,148036,145420,10412,29353,9140
2011,950163,177653,41240,376188,192040,2567785,1661669,116990,19343,1448,432058,674065,52086,413304,42763,47436,1336093,121160,160374,12360,29602,11450
2012,942992,198026,41318,416438,173600,2685804,1705902,127678,19959,1475,436074,777228,54716,581550,49179,55663,1374514,130512,174145,14433,26789,12872
2013,937753,208565,41397,467086,139101,2704224,1767403,137331,18932,1660,431565,869679,52439,767243,58450,68581,1441917,143590,184224,16271,23513,14892
